,fun,serious,source
40,"meth actually not that bad for you, report doctors dismantling stereo","meth actually not that bad for you, report doctors dismantling stereotype",unfunme
41,"meth actually not that bad for you, report doctors dismantling stereo","sugar actually not that bad for you, report doctors dismantling stereo",unfunme
42,walking dead' writers regret naming every single character 'rick',walking dead' writers regret not naming every single character 'carl',unfunme
43,66-year-old 'washington post' reporter hopes he liveblogged state of the union right,washington post reporter hopes he liveblogged 66-year-old state of the union right,unfunme
44,66-year-old 'washington post' reporter hopes he liveblogged state of the union right,66-year-old 'washington post' reporter liveblogs state of the union,unfunme
45,los angeles on high alert as lapd back on regular duty,los angeles on high alert as lapd back on strike,unfunme
46,los angeles on high alert as lapd back on regular duty,los angeles on no alert as lapd back on regular duty,unfunme
47,lebron james playing flawless basketball in pathetic bid for nation's approval,lebron james playing  basketball in bid for als awareness,unfunme
48,area man would like to be one rescuing dog for once,young man would like to be rescuing dogs for a living,unfunme
49,area man would like to be one rescuing dog for once,local man would like to rescue dog,unfunme
50,paranoid josh smith flees into atlanta sewers after learning nets are pursuing him,paranoid josh smith flees into atlanta after learning cops are pursuing him,unfunme
51,chris brown's agent suggests suicide could be great career move,chris brown's agent suggests learning french could be great career move,unfunme
52,vin diesel will finally kiss car in 'fast & furious 6',vin diesel will finally crash car in 'fast & furious 6',unfunme
53,vin diesel will finally kiss car in 'fast & furious 6',vin diesel to kiss car in 'fast & furious 6',unfunme
54,snowstorm in chicago delays hundreds of morning murders,snowstorm in chicago delays hundreds of morning commuters,unfunme
55,snowstorm in chicago delays hundreds of morning murders,snowstorm in chicago brings hundreds of morning murders,unfunme
56,disappointed lebron james endures long ride home on all-star team bus,disappointed lebron james describes long ride home on all-star team bus,unfunme
57,disappointed lebron james endures long ride home on all-star team bus,lebron james endures long legal battle,unfunme
58,obese woman puts dog on diet,woman puts daughter on diet,unfunme
59,obese woman puts dog on diet,woman puts obese dog on diet,unfunme
60,"bob dylan lays off 2,000 workers from songwriting factory","bob dylan lays off 2,000 workers from merchandice factory",unfunme
61,"obama, congress must reach deal on budget by march 1, and then april 1, and then april 20, and then april 28, and then may 1","obama, congress must discuss deal on budget on march 1, april 1, april 20, april 28, and may 1",unfunme
62,pea farmers say they alone keep peas from overrunning planet,pea farmers say keep peas from overrunning planet,unfunme
63,"new social media startup launches, shuts down within 45 minutes","microsoft social media startup launches, shuts down within 45 minutes",unfunme
64,u.n. aid workers distributing food to malnourished kfc customers,u.n. aid workers distributing food to malnourished afghanistan children,unfunme
65,gunman kills zero at kansas city area mall,gunman kills one at kansas city area mall,unfunme
66,gunman kills zero at kansas city area mall,"thank somebody, somewhere.",unfunme
67,"executive begins, ends every sentence with 'going forward'",minnan,unfunme
68,"ravens finalize 6-year, $120 million deal for super bowl xlvii",ravens finalize $120 million deal for super bowl xlvii,unfunme
69,"sxsw as cool and as real as it gets, reports marketing associate",sxsw as cool and as real as it gets,unfunme
70,"sxsw as cool and as real as it gets, reports marketing associate","sxsw as cool and as real as it gets, marketing associate",unfunme
71,14-year-old congressional whiz kid balances budget,14-year-old professional whiz kid balances budget,unfunme
72,14-year-old congressional whiz kid balances budget,29-year-old congressional whiz kid balances budget,unfunme
73,dad returns from business trip with exotic gifts from idaho,dad returns from business trip with exotic gifts,unfunme
74,dad returns from business trip with exotic gifts from idaho,dad returns from business trip with exotic gifts from africa,unfunme
75,impressive wbc showing gives orlando yntema leverage at uvv utrecht contract negotiations,impressive wbc showing gives orlando yntema leverage at uvv contract negotiations,unfunme
76,nadal hits shot super low to the net,nadal winning hit zooms low above the net,unfunme
77,nadal hits shot super low to the net,nadal hits super shot over the net,unfunme
78,sardinian starting up again with the corsican jokes,sardinian starting up again with the corsican rant,unfunme
79,sardinian starting up again with the corsican jokes,sardinian sued up again with the corsican jokes,unfunme
80,sardinian starting up again with the corsican jokes,french starting up again with the corsican jokes,unfunme
81,roman numeral for 17 might as well be alien hieroglyph far as area man can tell,roman numeral for 17 might as well be alien hieroglyph as far as area man can tell,unfunme
82,roman numeral for 17 might as well be alien hieroglyph far as area man can tell,background noise might as well be alien hieroglyph as far as we can tell,unfunme
83,naive 1-seed thinks it has shot at going all the way,1-seed broncos coach thinks team has shot at going all the way,unfunme
84,naive 1-seed thinks it has shot at going all the way,critics predict: underdog 1-seed has a shot at going all the way,unfunme
85,obama openly asks nation why on earth he would want to serve for another term,obama openly asks nation if he should serve for another term,unfunme
86,man suspected of being bumbling spy,chinese suspected of being spy,unfunme
87,christmas letter ominously makes no mention of the twins,christmas letter makes no mention of the twins,unfunme
88,mississippi brings down yet another national average,mississippi on why she is adversity,unfunme
89,world's greatest human being puts 'sweet emotion' on jukebox right as area man touches fifth beer to lips,world's greatest dancer puts 'sweet emotion' on jukebox right as manager touches contract,unfunme
90,world's greatest human being puts 'sweet emotion' on jukebox right as area man touches fifth beer to lips,world's tallest human being performs 'sweet emotion' right at beer festival,unfunme
91,fish at pretty good place in its life right now,eminem at pretty good place in his life right now,unfunme
92,fish at pretty good place in its life right now,sting at pretty good place in his life right now,unfunme
93,parents drop fake treating-you-like-an-adult act half-hour into visit,parents drop fake baby half-hour into visit,unfunme
94,parents drop fake treating-you-like-an-adult act half-hour into visit,parents treat you like a child,unfunme
95,supreme court overturns 'right v. wrong',supreme court overturns roe v. wade,unfunme
96,supreme court overturns 'right v. wrong',supreme court overturns 'wright v. wong',unfunme
97,new social media start-up aims to be cross between facebook and facebook,new social media start-up aims to be cross between facebook and twitter,unfunme
98,nation's substitute teachers would like to know who threw that,nation's substitute teachers to receive time and a half pay for over 20 hours of work,unfunme
99,romney cements status as candidate who can somehow lose to newt gingrich,romney cements status as candidate who can somehow lose to senator gingrich,unfunme
100,report: new orleans saints have run same offensive play over and over since week 6,new orleans saints have run same offensive play 20 times since week 6,unfunme
101,area couple vows never to go dildo shopping while horny again,michael jackson vows never to go shopping while indebted again,unfunme
102,area couple vows never to go dildo shopping while horny again,area couple vows never to go shopping while hungry again,unfunme
103,area couple vows never to go dildo shopping while horny again,area couple decides to avoid shopping during times of heightened passions,unfunme
104,idiot man-child destroys the set of jeopardy,when jeopardy goes wrong,unfunme
105,idiot man-child destroys the set of jeopardy,crazed man destroys the set of jeopardy,unfunme
106,idiot man-child destroys the set of jeopardy,man destroys the set of jeopardy,unfunme
107,jerry sandusky: i’ll never forget all the things joe paterno did for me,joe paterno: i’ll never forget all the things jerry sandusky did for me,unfunme
108,jerry sandusky: i’ll never forget all the things joe paterno did for me,jerry sandusky: i’ll never forget all good sex joe paterno and i had,unfunme
109,baltimore ravens admit they like the ugly wins,the baltimore ravens admit they like ugly win,unfunme
110,baltimore ravens admit they like the ugly wins,cheap tactical win  meant for cavemans from africa,unfunme
111,baltimore ravens admit they like the ugly wins,baltimore ravens admit they like the close wins,unfunme
112,inconsistent indiana ranked 2nd and 24th in new ap poll,indiana pacers ranked 2nd and 24th the new ap poll,unfunme
113,inconsistent indiana ranked 2nd and 24th in new ap poll,inconsistent indiana ranked 24th in new ap poll,unfunme
114,study reveals majority of suicides occur while trying to put fitted sheet on bed,study reveals majority of suicides occur while lying on bed,unfunme
115,smug new mom going to start a blog,new mom starts blog,unfunme
116,doctors clear peyton manning to let 300-pound men slam him into the ground as hard as they can,doctors clear peyton manning to let 200-pound men slam him into the ground as hard as they can,unfunme
117,lonely college student calls up mom to talk about 'harold and kumar',lonely college student calls up mom to talk about suicide,unfunme
118,lonely college student calls up mom to talk about 'harold and kumar',obama admits he had sex with britney spears to have fun that time at the bar,unfunme
119,truly authentic mexican restaurant shut down immediately,authentic mexican restaurant shut down due to tensions,unfunme
120,"brad pitt, angelina jolie arrive on oscar red carpet 12 hours early","brad pitt, angelina jolie arrive on oscar red carpet 2 hours late",unfunme
121,"brad pitt, angelina jolie arrive on oscar red carpet 12 hours early","brad pitt, angelina jolie snapped on oscar red carpet 12 hours early",unfunme
122,ducks only interested in area man's bread,ducks only interested in old man's bread,unfunme
123,ducks only interested in area man's bread,duck eat bread,unfunme
124,mma fighter unfortunately discovers true love for first time on morning of big fight,fighter discovers true love on morning of big fight,unfunme
125,mma fighter unfortunately discovers true love for first time on morning of big fight,mma fighter discovers true love,unfunme
126,little league world series to begin testing players for mustaches,little league world series to begin testing players for steroids,unfunme
127,little league world series to begin testing players for mustaches,little league world series to begin testing players for peds,unfunme
128,k-y introduces new line of jam,smuckers introduces new line of jam,unfunme
129,k-y introduces new line of jam,glycerin or jam,unfunme
130,george foreman grill retires to promote its own grill,george foreman retires to promote its own grill hello jih,unfunme
131,george foreman grill retires to promote its own grill,sandy grill retires to promote its own grill,unfunme
132,chris kattan wondering whether he should start a podcast,zach braff wondering whether he should start a podcast,unfunme
133,chris kattan wondering whether he should start a podcast,chris katan staring a new podcast,unfunme
134,chris kattan wondering whether he should start a podcast,chris kattan will start a podcast,unfunme
135,"dog, dog owner emerge from bathroom","missing dog, dog owner emerge from woods",unfunme
136,study finds owning cool leather jacket more rewarding than raising children,study finds owning cool leather jacket more attractive than raising children,unfunme
137,sound technicians resort to hanging donald sutherland upside down in empty stairwell to get optimal voice-over tone,sound technicians resort to hanging john smith upside down in empty stairwell to get optimal voice-over tone,unfunme
138,area high school somehow still carrying on without 2011 seniors,area high school somehow still carrying on without 2011 teachers,unfunme
139,"stock analysts confused, frightened by boar market","stock analysts confused, frightened by bull market",unfunme
140,"floyd mayweather, jr. and manny pacquiao urged to put aside differences and fight","floyd mayweather, jr. and manny pacquiao urged to put aside retirement and fight",unfunme
141,woman getting into ceviche dragging everyone down with her,woman getting into drugs dragging everyone down with her,unfunme
142,woman getting into ceviche dragging everyone down with her,woman getting into methamphetamines dragging everyone down with her,unfunme
143,south dakota state confesses they were excited about tournament when they heard seeds were involved,south dakota state confesses they were excited about the tournament when they heard seeds were involved,unfunme
144,south dakota state confesses they were excited about tournament when they heard seeds were involved,south dakota state representatives confess they were excited about tournament when they heard top athletes were involved,unfunme
145,broncos' manning strategy session mostly just fantasizing about accidents that could happen to tim tebow,broncos' manning strategy session mostly about sacking pressure that could be applied to tim tebow,unfunme
146,broncos' manning strategy session mostly just fantasizing about accidents that could happen to tim tebow,broncos' manning mostly just fantasizing about tim tebow,unfunme
147,peyton manning re-injures neck saying no to titans,payton manning re-injures neck against titans,unfunme
148,peyton manning re-injures neck saying no to titans,peyton manning injures neck in contract abortion.,unfunme
149,nation's quadriplegics immobilize on washington in support of stem-cell research,nation's quadriplegics march on washington in disapprove of stem-cell research,unfunme
150,"area man too busy for his buddy phil, eh?","area man phil too busy for his buddy, eh?",unfunme
151,"area man too busy for his buddy phil, eh?",area men too busy for hobbies,unfunme
152,study: dolphins not so intelligent on land,study: dolphins not so fast on land,unfunme
153,superstitious rick pitino admits he has gone all month without changing his hair grease,rick pitino admits he has gone all month without changing his hair grease,unfunme
154,superstitious rick pitino admits he has gone all month without changing his hair grease,ujhljklhkjh,unfunme
155,kkk member struggles to blame blacks for his hangover,kkk member jumps to blame blacks for his sentence,unfunme
156,kkk member struggles to blame blacks for his hangover,kkk member struggles to blame blacks for his unemployment,unfunme
157,kkk member struggles to blame blacks for his hangover,kkk member struggles to blame alcohol for his hangover,unfunme
158,kkk member struggles to blame blacks for his hangover,democratic member struggles to blame blacks for his loss,unfunme
159,police officer hooks thumbs into belt,police officer hooks car into building,unfunme
160,police officer hooks thumbs into belt,police officer hooks fingers into belt,unfunme
161,promising 9-pound bass to turn pro,noaa promising 9-pound bass to turn pro environment,unfunme
162,promising 9-pound bass to turn pro,promising 8-pound bass to turn pro,unfunme
163,area man proud he can still fit into car from high school,area man can still fit into car from high school,unfunme
164,"entire train ride spent deciding if, when to use bathroom","obama spent entire train ride deciding if, when to escalate",unfunme
165,united airlines exploring viability of stacking them like cordwood,ok,unfunme
166,united airlines exploring viability of stacking them like cordwood,united airlines exploring viability of stacking passengers,unfunme
167,al-qaeda claims u.s. mass transportation infrastructure must drastically improve before any terrorist attacks,al-qaeda claims u.s. mass transportation infrastructure must drastically improve before any terrorist attacks likely,unfunme
168,underground railroad' carries slaves from brooklyn to manhattan,underground railroad carried slaves from mississippi to manhattan,unfunme
169,underground railroad' carries slaves from brooklyn to manhattan,underground railroad' carries workers from brooklyn to manhattan,unfunme
170,cocky attempt to operate atm in spanish backfires,attempt to operate atm in spanish unsuccessful,unfunme
171,cancer victim given second chance at death,cancer victim given second chance at health,unfunme
172,goalies playing prominent role in nhl playoffs,cheerleaders playing prominent role in nhl playoffs,unfunme
173,errant keystroke produces character never before seen by human eyes,this keystroke combination produces a character never before seen by human eyes,unfunme
174,errant keystroke produces character never before seen by human eyes,errant keystroke deletes character never before seen by human eyes,unfunme
175,nickname persists in spite of surgery,cancer persists in spite of surgery,unfunme
176,man confidently strides through beaded curtain without parting it,man confidently strides through red sea without parting it,unfunme
177,hershey's announces it's all out of candy,hershey's announces it's spinning out recipe division,unfunme
178,hershey's announces it's all out of candy,hershey's announces it's all out of candy ideas,unfunme
179,authorities place alabama residents in foster state,authorities found alabama residents hidden in foster state,unfunme
180,authorities place alabama residents in foster state,authorities place alabama armadillos in foster state,unfunme
181,authorities place alabama residents in foster state,alabama 'care',unfunme
182,authorities place alabama residents in foster state,authorities place alabama residents in foster homes,unfunme
183,undercurrent of inequality and fear roiling just beneath surface of '50s-themed diner,undercurrent of sewage and e.coli roiling just beneath surface of '50s-themed diner,unfunme
184,computer hacker denied access to social life,computer hacker denied access to social network,unfunme
185,computer hacker denied access to social life,computer hacker denied access to twitter,unfunme
186,14 feelings hurt in local teasing incident,speed,unfunme
187,14 feelings hurt in local teasing incident,14 feelings hurt in public  teasing incident,unfunme
188,"development exec wants to see what, where, how that would look, live, play out","english teacher wants to see what, where, how that would look, live, play out",unfunme
189,"development exec wants to see what, where, how that would look, live, play out","goldman sachs wants to see what, where, how investmentes would look, live, play out",unfunme
190,another nurse succumbs to charms of flirty elderly patient,patient succumbs to charms of flirty doctor,unfunme
191,early playoff exit provides huge relief to grizzlies,early playoff exit provides fan turmoil to grizzlies,unfunme
192,early playoff exit provides huge relief to grizzlies,early playoff win provides huge relief to grizzlies,unfunme
193,money man pulls even with black guy in latest poll,monkey man pulls even with black guy in latest poll of st louis police,unfunme
194,sad sack bullied by area goose,farm chicken bullied by area goose,unfunme
195,quaker scientists formulate world's oldest-fashioned oatmeal,"eating old is the new eating local, quakers revive heritage oatmeal",unfunme
196,quaker scientists formulate world's oldest-fashioned oatmeal,quaker scientists formulate new old-fashioned oatmeal,unfunme
197,team usa devastated after home depot refuses to let athletes take time off for olympics,team usa devastated after government refuses to let athletes take time off for olympics,unfunme
198,team usa devastated after home depot refuses to let athletes take time off for olympics,team usa devastated after home dept refuses to let athletes take time off for olympics,unfunme
199,stephen strasburg tears everything,arnold schwarzenegger pumps everything,unfunme
200,kentucky legislature bans gay pet weddings,kentucky legislature bans pet weddings,unfunme
201,my sharona' playing in supermarket as parent slaps crying child in face,metallica's 'battery' playing in supermarket as parent slaps crying child in face,unfunme
202,"middle-aged woman angrily demanding price check on rice pudding was once carefree youth, onlookers speculate","middle-aged woman angrily protesting food safety on rice pudding was once radical youth, police speculate",unfunme
203,"middle-aged woman angrily demanding price check on rice pudding was once carefree youth, onlookers speculate","middle-aged woman angrily demanding price check on rice pudding was once dessert-deprived camel, onlookers speculate",unfunme
204,bats shooed out of nation's waterslide tunnels in preparation for summer,bats chased out of nation's waterslide tunnels in preparation for summer,unfunme
205,bats shooed out of nation's waterslide tunnels in preparation for summer,bats shooed out of nation's tunnels in preparation for summer,unfunme
206,man on verge of self-realization instead turns to god,man on verge of breakdown instead turns to god,unfunme
207,u.s. improves infrastructure with transnational power strip,u.s. improves infrastructure with transnational power network,unfunme
208,u.s. improves infrastructure with transnational power strip,u.s. improves infrastructure with instant power sex,unfunme
209,nascar to discontinue having kids rush onto track to wipe up skid marks during races,nascar discontinue having kids rush onto track during races,unfunme
210,nascar to discontinue having kids rush onto track to wipe up skid marks during races,nascar to discontinue having fans rush onto track,unfunme
211,"both shawn johnson, houston astros confused why gymnast signed one-day contract in order to retire an astro",shawn johnson signed one-year contract in order to retire an astro,unfunme
212,"both shawn johnson, houston astros confused why gymnast signed one-day contract in order to retire an astro","both shawn johnson, houston astros happy that gymnast signed one-day contract in order to retire an astro",unfunme
213,mlb reminds national league to get vaccinated against dh before interleague play starts again,mlb reminds national league to get vaccinated against dh before interleague starts again,unfunme
214,eco-conscious marketing firm developing alternative sources of synergy,economic consciousness required for alternative demands of resources,unfunme
215,veteran who stormed beach at normandy still getting laid because of it,veteran who stormed beach at normandy still getting paid because of it,unfunme
216,veteran who stormed beach at normandy still getting laid because of it,veteran who stormed beach at normandy still getting medical bills because of it,unfunme
217,michael bay makes high octane trip to grocery store,michael bay makes high publicity trip to grocery store,unfunme
218,michael bay makes high octane trip to grocery store,michael bay makes high octane trip to local raceway,unfunme
219,michael bay makes high octane trip to grocery store,michael bay makes high octane action film,unfunme
220,michael bay makes high octane trip to grocery store,honda minivan makes high octane trip to grocery store,unfunme
221,lance armstrong's bike: 'it was me',lance armstrong’s bike: ‘it was broken’,unfunme
222,area man pretty sure he knows which athletes are gay,local fan suspects athletes are gay,unfunme
223,area man pretty sure he knows which athletes are gay,area man knows which athletes are gay,unfunme
224,olympic kayaker hoping to get endorsement deal with good paddle manufacturer,olympian kayaker hopes for endorsement deals with paddle manufacturers,unfunme
225,olympic kayaker hoping to get endorsement deal with good paddle manufacturer,olympic kayaker hoping to get endorsement deal with good kayak manufacturer,unfunme
226,david ortiz two hours late getting back to first after pitcher throws over,david ortiz two seconds late getting back to first after pitcher throws over,unfunme
227,mexican program aims to reach drug lords before they get caught up in cartels,mexican program aims to reach drug lords and cartels,unfunme
228,off-duty weatherman delights seniors with impromptu forecast,impromptu forecast delights weatherman off-duty,unfunme
229,off-duty weatherman delights seniors with impromptu forecast,off-duty weatherman delights seniors with impromptu rain dance,unfunme
230,off-duty weatherman delights seniors with impromptu forecast,impromptu forecast delights seniors with off-duty weatherman,unfunme
231,new archie graphic novel explores rich inner life of jughead,new archie graphic novel explores rich inner life of jug head,unfunme
232,new archie graphic novel explores rich inner life of jughead,new novel explores rich inner life of monks,unfunme
233,romney receives 20-minute standing ovation at naawp event,let him speak...!!,unfunme
234,romney receives 20-minute standing ovation at naawp event,obama receives 20-minute standing ovation at naawp event,unfunme
235,daniel tosh chuckles through own violent rape,daniel tosh chuckles about violent rape,unfunme
236,daniel tosh chuckles through own violent rape,daniel tosh chuckles through own violent ###,unfunme
237,"movie industry admits 'the avengers' really only made about $8 million nationwide, tops",movie industry announces 'the avengers' made  about $8 million nationwide,unfunme
238,"movie industry admits 'the avengers' really only made about $8 million nationwide, tops","movie industry admits 'the avengers' really only made about $8 trillion nationwide, tops",unfunme
239,joe paterno's name to remain on joe paterno center for covering up sexual abuse,joe paterno's name to remain on joe paterno center despite sexual abuse scandel,unfunme
240,under armour celebrates 5 years of dominating roided-out-high-school-asshole market,under armour celebrates 5 years of dominating high-school market,unfunme
241,under armour celebrates 5 years of dominating roided-out-high-school-asshole market,under armour celebrates 5 years of dominating high school market,unfunme
242,area mom teaches son a lesson about how mean she is,tiger mom parenting: a case study,unfunme
243,area mom teaches son a lesson about how mean she is,area mom teaches son a lesson about science,unfunme
244,"romney requiring potential running mates to write 5,000 word essay on favorite things about money","romney requiring potential assistants to write 5,000 word essay on favorite things about usa",unfunme
245,"romney requiring potential running mates to write 5,000 word essay on favorite things about money","romney requiring potential running mates to write 5,000 word essay on favorite things about economy",unfunme
246,matt forte suffers career-ending contract with chicago bears,matt forte suffers contract with chicago bears,unfunme
247,matt forte suffers career-ending contract with chicago bears,matt forte suffers career-ending injury with chicago bears,unfunme
248,penn state to also remove statue of showering sandusky,penn state to also remove statue of columbus,unfunme
249,penn state to also remove statue of showering sandusky,monumental lost,unfunme
250,penn state to also remove statue of showering sandusky,penn state to also remove statue of towering sandusky,unfunme
251,"wendy's wants consumers to know it's fine with gays, disapproves of interracial marriage","chik-fil-a wants consumers to know it's fine with gays, disapproves of gay marriage",unfunme
252,"wendy's wants consumers to know it's fine with gays, disapproves of interracial marriage","wendy's wants consumers to know it's fine with gays, approves of interracial marriage",unfunme
253,nbc on olympics coverage: 'sorry we didn't alter the laws of space and time to accommodate people's schedules',nbc on olympics timing: 'sorry we didn't alter the laws of space and time to accommodate people's schedules',unfunme
254,nbc on olympics coverage: 'sorry we didn't alter the laws of space and time to accommodate people's schedules',nbc on olympics coverage: 'sorry we haven't done a decent job of coverage. ever.',unfunme
255,argument between employees shatters illusion of professionalism traditionally associated with walgreens,omsairam,unfunme
256,scientists say venom taken from politicians could provide medical benefits,venom taken from politicians provides medical benefits,unfunme
257,andy reid grumbles something about rebuilding mode as sandwich falls apart in hands,andy reid grumbles something about rebuilding mode as team falls apart in hands,unfunme
258,andy reid grumbles something about rebuilding mode as sandwich falls apart in hands,andy reid grumbles something,unfunme
259,balance beam event watched with mom,balance beam classes to be taught in school,unfunme
260,balance beam event watched with mom,balance beam event more fun to watch with mom,unfunme
261,foundation honored for work with developmentally disabled celebrities,foundation honored for work with physically disabled celebrities,unfunme
262,foundation honored for work with developmentally disabled celebrities,foundation honored for work with disabled celebrities,unfunme
263,nasa now almost positive mars is rocky,nasa now almost positive gaspra is rocky,unfunme
264,nasa now almost positive mars is rocky,breakthrough nasa research strongly suggests rocky terrain on mars,unfunme
265,"now that man has heard about barack obama, he sees references to him all over the place","now that man has heard about him, he sees references to barack obama all over the place",unfunme
266,nation's economists quietly evacuating their families,nation's economists quietly evacuating aligator families,unfunme
267,nation's economists quietly evacuating their families,nation's economists quietly evacuating their accounts,unfunme
268,parent company hasn't talked to sister corporation in years,parent hasn't talked to sister in years,unfunme
269,clothing catalog creates unrealistic expectations for shirts,fox,unfunme
270,clothing catalog creates unrealistic expectations for shirts,clothing catalog creates realistic expectations for shirts,unfunme
271,u.s. teens lead world in pregnancy-test scores,u.s. teens lead world in pregnancy rates,unfunme
272,u.s. teens lead world in pregnancy-test scores,u.s. teens lead world in pregnancy scores,unfunme
273,u.s. teens lead world in pregnancy-test scores,u.s. teens lead world in english test scores,unfunme
274,u.s. teens lead world in pregnancy-test scores,u.s. teens lead world in literature-test scores,unfunme
275,ghost of julia child sounds the same,julia child sounds the same,unfunme
276,ugandan powerball jackpot hits 31 grains of rice,ugandan powerball player hits 31 kids of rice,unfunme
277,ugandan powerball jackpot hits 31 grains of rice,false,unfunme
278,paul ryan wondering if he should have told romney about this guy he's dating,paul ryan wondering if he should have told romney about the prostitute he's dating,unfunme
279,paul ryan wondering if he should have told romney about this guy he's dating,paul ryan wondering if he should have had a romo with this guy he's dating,unfunme
280,christian porn film climaxes with birth of child,christian film portrays natural birth of child,unfunme
281,christian porn film climaxes with birth of child,christian cereal features birth of jesus,unfunme
282,state of texas executes child with adult's mind to even things out,state of texas executes teen with adult's mind to even things out,unfunme
283,fed chief makes diplomatic visit to econopolis,"fed chief makes diplomatic visit to econopolis ""less than fun""",unfunme
284,college roommates to continue bonding process until real friends made,college roommates to continue serving justice until real police come',unfunme
285,college roommates to continue bonding process until real friends made,college roommates to continue epoxy bonding process until sun sets,unfunme
286,teacher just hopes they never google him,former convict hopes new boss never googles him,unfunme
287,teacher just hopes they never google him,teachers more frequently googled by students,unfunme
288,area man regrets investing in facebook,sean parker regrets investing in facebook,unfunme
289,area man regrets investing in facebook,bill gates regrets investing in facebook,unfunme
290,area man regrets investing in facebook,area man regrets,unfunme
291,nation celebrates full week without deadly mass shooting,nation celebrates week without deadly mass shooting,unfunme
292,nation celebrates full week without deadly mass shooting,nation thankful for full week without deadly mass shooting,unfunme
293,nation celebrates full week without deadly mass shooting,arizona celebrates full week without deadly shooting,unfunme
294,ryan mathews targets season opener against raiders as date to re-aggravate injury,ryan mathews targets season opener against raiders as date to prove unimpaired by injury,unfunme
295,ryan mathews targets season opener against raiders as date to re-aggravate injury,ryan mathews targets season opener against raiders as date to retire,unfunme
296,lance armstrong lets down single person who still believed him,lance armstrong lets down those few who still believed him,unfunme
